points,superior_rating,price,Rich,Soft,age,rich,year,soft,light,fruity,attractive,great,richness,dense,intense,powerful,long,variety
82,0,1.856811092535303,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Noir
86,0,1.576205308822663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style Red Blend
93,1,2.0720733301606917,1,0,0.0,0.22453504399471652,0.24413525432855057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Champagne Blend
86,0,1.5317625635685963,0,1,0.0,0.0,0.0,0.40141318498259715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malbec
88,0,1.7557076861710752,0,1,0.0,0.0,0.26034568665652313,0.26978974339811146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Noir
86,0,1.6288914380896082,1,0,0.0,0.25347929353793563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3892005724138859,Chenin Blanc
89,0,1.713704021675243,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Noir
88,0,1.837790416705353,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Champagne Blend
87,0,1.8418319666715754,0,1,0.0,0.0,0.0,0.2579991261287641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Champagne Blend
88,0,1.810490814025578,0,0,0.0,0.0,0.0,0.0,0.0,0.2884814004868965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Champagne Blend
88,0,1.713704021675243,0,0,0.0,0.0,0.0,0.0,0.4294525992875173,0.4271624956645808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style White Blend
89,0,1.5551302597192842,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Blanc
88,0,1.713704021675243,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Syrah
92,1,1.7557076861710752,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sauvignon Blanc
88,0,1.6933326949318146,1,0,0.0,0.4485714264385658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3132850111088319,0.0,0.0,0.0,Cabernet Franc
85,0,1.595344300060418,0,0,0.0,0.0,0.0,0.0,0.3651707148923928,0.3632234015484922,0.4012405480419383,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Noir
86,0,1.713704021675243,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Gris
89,0,1.9316237152776001,0,0,0.2713858442470542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Champagne Blend
83,0,1.2361254842421947,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cabernet Sauvignon
87,0,1.595344300060418,0,0,0.0,0.0,0.0,0.0,0.0,0.20881930589087425,0.23067559078019803,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style White Blend
88,0,1.6821606241402574,0,0,0.2908504997105865,0.0,0.33411226401892263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Noir
89,0,1.4761827010096757,0,0,0.26210647833035544,0.0,0.0,0.0,0.6648848552193097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Champagne Blend
85,0,1.8495468204444896,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45109498233726325,0.0,0.0,0.0,0.0,Rhône-style White Blend
87,0,1.5317625635685963,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White Blend
